config_id,dataset,imbalance_method,method_family,classifier,minority_ratio,seed,precision,recall,f1,mcc,balanced_accuracy,accuracy,roc_auc,pr_auc,tn,fp,fn,tp,cv_best_score,best_params,runtime_sec,train_size,test_size,train_phishing,test_phishing,train_phishing_pct,test_phishing_pct
urlphish__none__decision_tree__rnative__s2,urlphish,none,Baseline,decision_tree,,2,0.9044943820224719,0.8488576449912126,0.8757932910244787,0.8565329619859323,0.916996586995752,0.96575,0.9650675455208098,0.8950146485028365,3380,51,86,483,0.8718,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_split"": 10}",4.7,16000,4000,2278,569,14.24,14.22
urlphish__none__random_forest__rnative__s2,urlphish,none,Baseline,random_forest,,2,0.9476635514018692,0.8910369068541301,0.9184782608695652,0.9060198299816746,0.9414380104075373,0.9775,0.990378483372169,0.9689021255347781,3403,28,62,507,0.8969,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",19.9,16000,4000,2278,569,14.24,14.22
urlphish__none__svm__rnative__s2,urlphish,none,Baseline,svm,,2,0.9314814814814815,0.8840070298769771,0.9071235347159604,0.8925996866014787,0.9366115009483982,0.97425,0.9889337319867086,0.9511907765191316,3394,37,66,503,0.9,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",10.7,16000,4000,2278,569,14.24,14.22
urlphish__random_oversampling__decision_tree__rnative__s2,urlphish,random_oversampling,Data-level (resampling),decision_tree,,2,0.8859180035650623,0.8734622144112478,0.8796460176991151,0.8598801788564316,0.9274043803038461,0.966,0.9283545713409065,0.8055491531639858,3367,64,72,497,0.8572,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",3.8,16000,4000,2278,569,14.24,14.22
urlphish__random_oversampling__random_forest__rnative__s2,urlphish,random_oversampling,Data-level (resampling),random_forest,,2,0.9015817223198594,0.9015817223198594,0.9015817223198594,0.8852599502417481,0.942629975120874,0.972,0.992094461794893,0.9682138167681499,3375,56,56,513,0.8872,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 300}",31.4,16000,4000,2278,569,14.24,14.22
urlphish__random_oversampling__svm__rnative__s2,urlphish,random_oversampling,Data-level (resampling),svm,,2,0.8184568835098336,0.9507908611599297,0.8796747967479676,0.8613221319783615,0.9579078176391314,0.963,0.9871701159540405,0.9262974018962341,3311,120,28,541,0.864,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",35.1,16000,4000,2278,569,14.24,14.22
urlphish__random_undersampling__decision_tree__rnative__s2,urlphish,random_undersampling,Data-level (resampling),decision_tree,,2,0.7341772151898734,0.9173989455184535,0.8156249999999999,0.7878883353655557,0.9311564823774139,0.941,0.9531166522131768,0.7914284461895043,3242,189,47,522,0.7939,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_split"": 10}",2.8,16000,4000,2278,569,14.24,14.22
urlphish__random_undersampling__random_forest__rnative__s2,urlphish,random_undersampling,Data-level (resampling),random_forest,,2,0.7600554785020804,0.9630931458699473,0.8496124031007752,0.829358267485371,0.9563352642786053,0.9515,0.9924945152719519,0.967564690422842,3258,173,21,548,0.8258,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 300}",11.1,16000,4000,2278,569,14.24,14.22
urlphish__random_undersampling__svm__rnative__s2,urlphish,random_undersampling,Data-level (resampling),svm,,2,0.7611111111111111,0.9630931458699473,0.8502715283165244,0.8300724849146853,0.9564809943864455,0.95175,0.9861866298132554,0.9217703920356446,3259,172,21,548,0.8398,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",4.5,16000,4000,2278,569,14.24,14.22
urlphish__smote__decision_tree__rnative__s2,urlphish,smote,Data-level (synthetic),decision_tree,,2,0.8462837837837838,0.8804920913884007,0.8630490956072351,0.8400363111082634,0.926984605880735,0.96025,0.9282728702786902,0.7646226333379232,3340,91,68,501,0.8603,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",5.2,16000,4000,2278,569,14.24,14.22
urlphish__smote__random_forest__rnative__s2,urlphish,smote,Data-level (synthetic),random_forest,,2,0.9102112676056338,0.9086115992970123,0.9094107299912049,0.8944031995752051,0.9468735641486519,0.97425,0.9915955474713904,0.9686155822760508,3380,51,52,517,0.8931,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",42.9,16000,4000,2278,569,14.24,14.22
urlphish__smote__svm__rnative__s2,urlphish,smote,Data-level (synthetic),svm,,2,0.8348765432098766,0.9507908611599297,0.8890714872637634,0.8718226099251333,0.9598023090410549,0.96625,0.9867838927508363,0.9235320032566304,3324,107,28,541,0.8704,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",33.4,16000,4000,2278,569,14.24,14.22
urlphish__adasyn__decision_tree__rnative__s2,urlphish,adasyn,Data-level (synthetic),decision_tree,,2,0.8605042016806723,0.8998242530755711,0.879725085910653,0.8595508993747158,0.9378165275870423,0.965,0.9394274983749428,0.7936902882125254,3348,83,57,512,0.8506,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",7.2,16000,4000,2278,569,14.24,14.22
urlphish__adasyn__random_forest__rnative__s2,urlphish,adasyn,Data-level (synthetic),random_forest,,2,0.8970840480274442,0.9191564147627417,0.9079861111111112,0.8925997658563292,0.9508344009109541,0.9735,0.9909224741437908,0.9584304232637667,3371,60,46,523,0.8886,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 100}",49.8,16000,4000,2278,569,14.24,14.22
urlphish__adasyn__svm__rnative__s2,urlphish,adasyn,Data-level (synthetic),svm,,2,0.6877370417193426,0.9560632688927944,0.7999999999999999,0.7753205952158239,0.942036297809848,0.932,0.9802155371345416,0.89617972528745,3184,247,25,544,0.7801,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",56.9,16000,4000,2278,569,14.24,14.22
urlphish__smoteenn__decision_tree__rnative__s2,urlphish,smoteenn,Hybrid,decision_tree,,2,0.7981790591805766,0.9244288224956063,0.8566775244299675,0.8339784721750678,0.9428323069050459,0.956,0.9428323069050459,0.7486097278189514,3298,133,43,526,0.8504,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",34.0,16000,4000,2278,569,14.24,14.22
