config_id,dataset,imbalance_method,method_family,classifier,minority_ratio,precision,recall,f1,mcc,balanced_accuracy,accuracy,roc_auc,pr_auc,tn,fp,fn,tp,cv_best_score,best_params,runtime_sec,train_size,test_size,train_phishing,test_phishing,train_phishing_pct,test_phishing_pct
uci__smoteenn__svm__r10,uci,smoteenn,Hybrid,svm,0.1,0.8066666666666666,0.8832116788321168,0.8432055749128919,0.8259453253684856,0.9298363588965779,0.9671292914536158,0.9799892169873923,0.894326468852542,1203,29,16,121,0.8314,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",4.6,5472,1369,547,137,10.0,10.01
uci__smotetomek__decision_tree__r10,uci,smotetomek,Hybrid,decision_tree,0.1,0.9914529914529915,0.8467153284671532,0.9133858267716537,0.9080116821527344,0.9229518200777325,0.9839298758217677,0.9294867996966537,0.8669772487392229,1231,1,21,116,0.9042,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",5.3,5472,1369,547,137,10.0,10.01
uci__smotetomek__random_forest__r10,uci,smotetomek,Hybrid,random_forest,0.1,0.9826086956521739,0.8248175182481752,0.8968253968253969,0.8905744269677985,0.9115970708123993,0.9810080350620891,0.9842194757796948,0.9562005658654111,1230,2,24,113,0.9133,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",12.7,5472,1369,547,137,10.0,10.01
uci__smotetomek__svm__r10,uci,smotetomek,Hybrid,svm,0.1,0.8976377952755905,0.8321167883211679,0.8636363636363636,0.8498549806799487,0.91078242013461,0.9737034331628927,0.9730809792397384,0.9115929152607289,1219,13,23,114,0.8713,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",5.1,5472,1369,547,137,10.0,10.01
uci__cost_sensitive__decision_tree__r10,uci,cost_sensitive,Algorithm-level,decision_tree,0.1,0.8947368421052632,0.8686131386861314,0.8814814814814815,0.8686359977292546,0.9286247511612475,0.9766252739225713,0.932058133472367,0.852397453404185,1218,14,18,119,0.8955,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",0.9,5472,1369,547,137,10.0,10.01
uci__cost_sensitive__random_forest__r10,uci,cost_sensitive,Algorithm-level,random_forest,0.1,0.9652173913043478,0.8102189781021898,0.8809523809523809,0.8730247099561114,0.9034861124277183,0.9780861943024105,0.9777733671438051,0.9463862140292348,1228,4,26,111,0.9012,"{""max_depth"": null, ""max_features"": ""log2"", ""n_estimators"": 100}",6.8,5472,1369,547,137,10.0,10.01
uci__cost_sensitive__svm__r10,uci,cost_sensitive,Algorithm-level,svm,0.1,0.8676470588235294,0.8613138686131386,0.8644688644688644,0.8494659773016077,0.9233517395013745,0.972972972972973,0.9716294198502228,0.9029701953069155,1214,18,19,118,0.869,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",2.2,5472,1369,547,137,10.0,10.01
hannousse__none__decision_tree__r10,hannousse,none,Baseline,decision_tree,0.1,0.7983193277310925,0.7480314960629921,0.7723577235772359,0.7484600539151882,0.863517060367454,0.9559055118110236,0.8553743774154215,0.6883169793000401,1119,24,32,95,0.796,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 2}",1.8,5080,1270,508,127,10.0,10.0
hannousse__none__random_forest__r10,hannousse,none,Baseline,random_forest,0.1,0.9159663865546218,0.8582677165354331,0.8861788617886178,0.8745544071620309,0.9247594050743657,0.9779527559055118,0.9927666521999711,0.9445002597489256,1133,10,18,109,0.8746,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",11.2,5080,1270,508,127,10.0,10.0
hannousse__none__svm__r10,hannousse,none,Baseline,svm,0.1,0.8870967741935484,0.8661417322834646,0.8764940239043826,0.863029044066631,0.9269466316710411,0.9755905511811024,0.9889019778039556,0.9039472379239442,1129,14,17,110,0.8593,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",2.9,5080,1270,508,127,10.0,10.0
hannousse__random_oversampling__decision_tree__r10,hannousse,random_oversampling,Data-level (resampling),decision_tree,0.1,0.7661290322580645,0.7480314960629921,0.7569721115537849,0.7303913836055709,0.8613298337707787,0.9519685039370078,0.8613298337707787,0.5982854965709932,1114,29,32,95,0.7989,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",2.0,5080,1270,508,127,10.0,10.0
hannousse__random_oversampling__random_forest__r10,hannousse,random_oversampling,Data-level (resampling),random_forest,0.1,0.9159663865546218,0.8582677165354331,0.8861788617886178,0.8745544071620309,0.9247594050743657,0.9779527559055118,0.9915679831359663,0.9472488298570065,1133,10,18,109,0.8742,"{""max_depth"": 20, ""max_features"": ""log2"", ""n_estimators"": 100}",14.1,5080,1270,508,127,10.0,10.0
hannousse__random_oversampling__svm__r10,hannousse,random_oversampling,Data-level (resampling),svm,0.1,0.8333333333333334,0.8661417322834646,0.8494208494208495,0.8325225503158952,0.9234470691163605,0.9692913385826771,0.9870970853052818,0.8927144008276753,1121,22,17,110,0.857,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",6.0,5080,1270,508,127,10.0,10.0
