config_id,dataset,imbalance_method,method_family,classifier,minority_ratio,seed,precision,recall,f1,mcc,balanced_accuracy,accuracy,roc_auc,pr_auc,tn,fp,fn,tp,cv_best_score,best_params,runtime_sec,train_size,test_size,train_phishing,test_phishing,train_phishing_pct,test_phishing_pct
vrbancic__none__decision_tree__rnative__s1,vrbancic,none,Baseline,decision_tree,,1,0.9259786476868327,0.940708604483008,0.9332855093256814,0.8976678856547022,0.9504842219969492,0.9535,0.9636095102078821,0.9051994983778927,2513,104,82,1301,0.9235,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 2}",6.4,16000,4000,5531,1383,34.57,34.58
vrbancic__none__random_forest__rnative__s1,vrbancic,none,Baseline,random_forest,,1,0.9362606232294618,0.9558929862617498,0.9459749552772808,0.9170857963945929,0.9607512313807793,0.96225,0.9929706234142355,0.9873713154586893,2527,90,61,1322,0.9438,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",26.4,16000,4000,5531,1383,34.57,34.58
vrbancic__none__svm__rnative__s1,vrbancic,none,Baseline,svm,,1,0.9296591733139956,0.9269703543022415,0.9283128167994207,0.8905144289734186,0.9449525061537956,0.9505,0.9846531563604234,0.9722517928162141,2520,97,101,1282,0.9238,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",34.0,16000,4000,5531,1383,34.57,34.58
vrbancic__random_oversampling__decision_tree__rnative__s1,vrbancic,random_oversampling,Data-level (resampling),decision_tree,,1,0.897972972972973,0.9609544468546638,0.9283967865874957,0.8897993762690268,0.9516273953799494,0.94875,0.9648031075527911,0.9081906580569208,2466,151,54,1329,0.9187,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 2}",5.7,16000,4000,5531,1383,34.57,34.58
vrbancic__random_oversampling__random_forest__rnative__s1,vrbancic,random_oversampling,Data-level (resampling),random_forest,,1,0.9269311064718163,0.9631236442516269,0.9446808510638298,0.9149821219559661,0.9615006834173687,0.961,0.9928708806731447,0.9873905705911726,2512,105,51,1332,0.9442,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 300}",33.8,16000,4000,5531,1383,34.57,34.58
vrbancic__random_oversampling__svm__rnative__s1,vrbancic,random_oversampling,Data-level (resampling),svm,,1,0.8909214092140921,0.9508315256688359,0.9199020636586218,0.8765538774173303,0.944655350148136,0.94275,0.985135016029294,0.9702541032226619,2456,161,68,1315,0.9205,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",52.5,16000,4000,5531,1383,34.57,34.58
vrbancic__random_undersampling__decision_tree__rnative__s1,vrbancic,random_undersampling,Data-level (resampling),decision_tree,,1,0.8891142663962136,0.9508315256688359,0.9189378057302585,0.8750558617289275,0.944082174756466,0.942,0.9632736728067856,0.8935315631210168,2453,164,68,1315,0.9172,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 10}",4.6,16000,4000,5531,1383,34.57,34.58
vrbancic__random_undersampling__random_forest__rnative__s1,vrbancic,random_undersampling,Data-level (resampling),random_forest,,1,0.9091525423728813,0.9696312364425163,0.9384184744576627,0.9053805517831592,0.9592137840600048,0.956,0.9914874681949134,0.9843442889927102,2483,134,42,1341,0.9359,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",19.7,16000,4000,5531,1383,34.57,34.58
vrbancic__random_undersampling__svm__rnative__s1,vrbancic,random_undersampling,Data-level (resampling),svm,,1,0.8856758574310692,0.9522776572668112,0.9177700348432055,0.8732536439523652,0.9436588897721141,0.941,0.9849515556966506,0.9699807398973871,2447,170,66,1317,0.9155,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",18.0,16000,4000,5531,1383,34.57,34.58
vrbancic__smote__decision_tree__rnative__s1,vrbancic,smote,Data-level (synthetic),decision_tree,,1,0.911049339819319,0.9479392624728851,0.9291282778171509,0.8909454739982783,0.949514147858529,0.95,0.9706267297836522,0.9218263180222971,2489,128,72,1311,0.9202,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 10}",8.9,16000,4000,5531,1383,34.57,34.58
