config_id,dataset,imbalance_method,method_family,classifier,minority_ratio,seed,precision,recall,f1,mcc,balanced_accuracy,accuracy,roc_auc,pr_auc,tn,fp,fn,tp,cv_best_score,best_params,runtime_sec,train_size,test_size,train_phishing,test_phishing,train_phishing_pct,test_phishing_pct
urlphish__none__decision_tree__rnative__s42,urlphish,none,Baseline,decision_tree,,42,0.8973880597014925,0.8453427065026362,0.8705882352941177,0.8503805374070461,0.9146561973201027,0.96425,0.9379707095289049,0.8458758577292756,3376,55,88,481,0.8728,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_split"": 2}",4.6,16000,4000,2278,569,14.24,14.22
urlphish__none__random_forest__rnative__s42,urlphish,none,Baseline,random_forest,,42,0.9611650485436893,0.8699472759226714,0.9132841328413285,0.901227788414387,0.9320590358045301,0.9765,0.9863093094646711,0.9666479652140108,3411,20,74,495,0.9064,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 300}",20.5,16000,4000,2278,569,14.24,14.22
urlphish__none__svm__rnative__s42,urlphish,none,Baseline,svm,,42,0.947565543071161,0.8892794376098418,0.9174977334542158,0.9049319663201082,0.9405592757853931,0.97725,0.9877056548916399,0.9675281116532427,3403,28,63,506,0.917,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",10.2,16000,4000,2278,569,14.24,14.22
urlphish__random_oversampling__decision_tree__rnative__s42,urlphish,random_oversampling,Data-level (resampling),decision_tree,,42,0.8988970588235294,0.859402460456942,0.8787061994609164,0.8594080756111144,0.9216860742972557,0.96625,0.9217111736831402,0.7953649504860603,3376,55,80,489,0.8706,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",3.7,16000,4000,2278,569,14.24,14.22
urlphish__random_oversampling__random_forest__rnative__s42,urlphish,random_oversampling,Data-level (resampling),random_forest,,42,0.9404096834264432,0.8875219683655536,0.9132007233273056,0.8997962588479211,0.9390976207318878,0.976,0.9865874516388617,0.9612915903746073,3399,32,64,505,0.9033,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",30.9,16000,4000,2278,569,14.24,14.22
urlphish__random_oversampling__svm__rnative__s42,urlphish,random_oversampling,Data-level (resampling),svm,,42,0.8367346938775511,0.9367311072056239,0.8839137645107795,0.8652915450316596,0.9532096223874229,0.965,0.9861443706431436,0.9555074316507579,3327,104,36,533,0.8783,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",32.8,16000,4000,2278,569,14.24,14.22
urlphish__random_undersampling__decision_tree__rnative__s42,urlphish,random_undersampling,Data-level (resampling),decision_tree,,42,0.7131147540983607,0.9173989455184535,0.8024596464258262,0.7734660318874206,0.928096150112768,0.93575,0.9549563347520463,0.7485618467142536,3221,210,47,522,0.8015,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 10}",2.7,16000,4000,2278,569,14.24,14.22
urlphish__random_undersampling__random_forest__rnative__s42,urlphish,random_undersampling,Data-level (resampling),random_forest,,42,0.787701317715959,0.945518453427065,0.8594249201277955,0.8384836663090749,0.9516283610766919,0.956,0.9875309836551774,0.9617956314550112,3286,145,31,538,0.8416,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",10.5,16000,4000,2278,569,14.24,14.22
urlphish__random_undersampling__svm__rnative__s42,urlphish,random_undersampling,Data-level (resampling),svm,,42,0.788235294117647,0.9420035149384886,0.8582866293034428,0.836953914583775,0.9500166219402439,0.95575,0.9855778416474623,0.9483289761791404,3287,144,33,536,0.8572,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",4.4,16000,4000,2278,569,14.24,14.22
urlphish__smote__decision_tree__rnative__s42,urlphish,smote,Data-level (synthetic),decision_tree,,42,0.8926654740608229,0.8769771528998243,0.8847517730496454,0.8658822712230008,0.9297447699794954,0.9675,0.943525613411063,0.8384699396110246,3371,60,70,499,0.873,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_split"": 10}",5.1,16000,4000,2278,569,14.24,14.22
urlphish__smote__random_forest__rnative__s42,urlphish,smote,Data-level (synthetic),random_forest,,42,0.9309090909090909,0.8998242530755711,0.9151027703306523,0.901476915686092,0.9443743824398549,0.97625,0.9875617175970771,0.9664407954926219,3393,38,57,512,0.9038,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",42.2,16000,4000,2278,569,14.24,14.22
urlphish__smote__svm__rnative__s42,urlphish,smote,Data-level (synthetic),svm,,42,0.8380952380952381,0.9279437609841827,0.8807339449541285,0.8613139535042023,0.9491074094923828,0.96425,0.9858196153237384,0.9551129431505336,3329,102,41,528,0.8865,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",30.4,16000,4000,2278,569,14.24,14.22
urlphish__adasyn__decision_tree__rnative__s42,urlphish,adasyn,Data-level (synthetic),decision_tree,,42,0.8640275387263339,0.8822495606326889,0.8730434782608694,0.8517955715322284,0.9296121017969623,0.9635,0.9293890246020082,0.7790379164158516,3352,79,67,502,0.867,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_split"": 2}",7.2,16000,4000,2278,569,14.24,14.22
urlphish__adasyn__random_forest__rnative__s42,urlphish,adasyn,Data-level (synthetic),random_forest,,42,0.9236234458259325,0.9138840070298769,0.9187279151943463,0.9053501513866189,0.9506756088778064,0.977,0.987491541763073,0.9590518918431299,3388,43,49,520,0.901,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",51.2,16000,4000,2278,569,14.24,14.22
urlphish__adasyn__svm__rnative__s42,urlphish,adasyn,Data-level (synthetic),svm,,42,0.7436619718309859,0.9279437609841827,0.8256450351837373,0.7998283496486404,0.9374490008651604,0.94425,0.9815778191092384,0.9352718842224816,3249,182,41,528,0.817,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",50.7,16000,4000,2278,569,14.24,14.22
urlphish__smoteenn__decision_tree__rnative__s42,urlphish,smoteenn,Hybrid,decision_tree,,42,0.8357487922705314,0.9121265377855887,0.8722689075630251,0.8511202283262632,0.9411987978930858,0.962,0.9411987978930857,0.774808652352207,3329,102,50,519,0.8681,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",33.8,16000,4000,2278,569,14.24,14.22
urlphish__smoteenn__random_forest__rnative__s42,urlphish,smoteenn,Hybrid,random_forest,,42,0.888507718696398,0.9103690685413005,0.8993055555555556,0.8824581598002648,0.9457120772610321,0.971,0.983688728685371,0.9573477458310684,3366,65,51,518,0.8889,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",56.5,16000,4000,2278,569,14.24,14.22
urlphish__smoteenn__svm__rnative__s42,urlphish,smoteenn,Hybrid,svm,,42,0.8129713423831071,0.9472759226713533,0.875,0.8558827744121023,0.9555674279634819,0.9615,0.9849037438551325,0.9453164287936959,3307,124,30,539,0.8716,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",30.2,16000,4000,2278,569,14.24,14.22
urlphish__smotetomek__decision_tree__rnative__s42,urlphish,smotetomek,Hybrid,decision_tree,,42,0.8884955752212389,0.8822495606326889,0.8853615520282186,0.866435267101162,0.9319437835224068,0.9675,0.9412361908557303,0.8354269735643327,3368,63,67,502,0.8712,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_split"": 10}",34.0,16000,4000,2278,569,14.24,14.22
urlphish__smotetomek__random_forest__rnative__s42,urlphish,smotetomek,Hybrid,random_forest,,42,0.9361313868613139,0.9015817223198594,0.918531781557744,0.9055324219371087,0.94569030738552,0.97725,0.9890745958870815,0.966777207417462,3396,35,56,513,0.9021,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 300}",63.1,16000,4000,2278,569,14.24,14.22
urlphish__smotetomek__svm__rnative__s42,urlphish,smotetomek,Hybrid,svm,,42,0.8394276629570747,0.9279437609841827,0.8814691151919866,0.862150153303336,0.9492531396002231,0.9645,0.9857361214482449,0.9549964714329219,3330,101,41,528,0.8867,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",39.7,16000,4000,2278,569,14.24,14.22
urlphish__cost_sensitive__decision_tree__rnative__s42,urlphish,cost_sensitive,Algorithm-level,decision_tree,,42,0.8929219600725953,0.8646748681898067,0.8785714285714284,0.8589599113251657,0.9237393577323267,0.966,0.9239201757571691,0.795563932754352,3372,59,77,492,0.8651,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",3.2,16000,4000,2278,569,14.24,14.22
urlphish__cost_sensitive__random_forest__rnative__s42,urlphish,cost_sensitive,Algorithm-level,random_forest,,42,0.9607843137254902,0.8611599297012302,0.9082483781278963,0.8957828919280819,0.9276653626938095,0.97525,0.9857520006515597,0.9647181179960201,3411,20,79,490,0.9027,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",20.2,16000,4000,2278,569,14.24,14.22
urlphish__cost_sensitive__svm__rnative__s42,urlphish,cost_sensitive,Algorithm-level,svm,,42,0.8505564387917329,0.9402460456942003,0.8931552587646077,0.8759123208277992,0.9564243927101139,0.968,0.9859374287676868,0.9568704649196526,3337,94,34,535,0.8885,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",14.1,16000,4000,2278,569,14.24,14.22
