config_id,dataset,imbalance_method,method_family,classifier,minority_ratio,seed,precision,recall,f1,mcc,balanced_accuracy,accuracy,roc_auc,pr_auc,tn,fp,fn,tp,cv_best_score,best_params,runtime_sec,train_size,test_size,train_phishing,test_phishing,train_phishing_pct,test_phishing_pct
vrbancic__none__decision_tree__rnative__s42,vrbancic,none,Baseline,decision_tree,,42,0.9243085880640466,0.918293564714389,0.9212912586144361,0.8799143289734138,0.9392767021126397,0.94575,0.9581961870643334,0.9067882131006237,2513,104,113,1270,0.9216,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 2}",6.3,16000,4000,5531,1383,34.57,34.58
vrbancic__none__random_forest__rnative__s42,vrbancic,none,Baseline,random_forest,,42,0.9428979300499644,0.9551699204627621,0.9489942528735633,0.9218173947995764,0.962300283120185,0.9645,0.9920519402726099,0.9860057403962078,2537,80,62,1321,0.9429,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",26.3,16000,4000,5531,1383,34.57,34.58
vrbancic__none__svm__rnative__s42,vrbancic,none,Baseline,svm,,42,0.9240875912408759,0.9154013015184381,0.9197239375227024,0.8776288093871866,0.9378305705146642,0.94475,0.9851421997170179,0.9727999238642988,2513,104,117,1266,0.9191,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",33.8,16000,4000,5531,1383,34.57,34.58
vrbancic__random_oversampling__decision_tree__rnative__s42,vrbancic,random_oversampling,Data-level (resampling),decision_tree,,42,0.896049896049896,0.9349240780911063,0.9150743099787687,0.8691891016320991,0.9388032694620606,0.94,0.9605044993370284,0.9115567530047659,2467,150,90,1293,0.922,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 2}",5.9,16000,4000,5531,1383,34.57,34.58
vrbancic__random_oversampling__random_forest__rnative__s42,vrbancic,random_oversampling,Data-level (resampling),random_forest,,42,0.9306236860546602,0.9602313810556761,0.9451957295373666,0.9158012162038529,0.9612009026027329,0.9615,0.9918072804464718,0.9854379031980977,2518,99,55,1328,0.9425,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",33.9,16000,4000,5531,1383,34.57,34.58
vrbancic__random_oversampling__svm__rnative__s42,vrbancic,random_oversampling,Data-level (resampling),svm,,42,0.9005563282336578,0.9363702096890817,0.9181141439205954,0.8739333774931463,0.9408637445082779,0.94225,0.9846404467590655,0.9693956995503901,2474,143,88,1295,0.9179,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",52.7,16000,4000,5531,1383,34.57,34.58
vrbancic__random_undersampling__decision_tree__rnative__s42,vrbancic,random_undersampling,Data-level (resampling),decision_tree,,42,0.8988995873452544,0.9450469992769343,0.9213958406767713,0.8789064189763514,0.9444379054466444,0.94425,0.9599052140034388,0.89087374563278,2470,147,76,1307,0.9155,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 2}",4.6,16000,4000,5531,1383,34.57,34.58
vrbancic__random_undersampling__random_forest__rnative__s42,vrbancic,random_undersampling,Data-level (resampling),random_forest,,42,0.9089673913043478,0.9674620390455532,0.9373029772329247,0.9036254766703229,0.9581291853615233,0.95525,0.9915543317498827,0.9844347923629931,2483,134,45,1338,0.9319,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",20.3,16000,4000,5531,1383,34.57,34.58
vrbancic__random_undersampling__svm__rnative__s42,vrbancic,random_undersampling,Data-level (resampling),svm,,42,0.8939393939393939,0.9385394070860448,0.9156966490299824,0.8700841655389584,0.9398467001039701,0.94025,0.9828845877019134,0.9655664972744892,2463,154,85,1298,0.9118,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",17.8,16000,4000,5531,1383,34.57,34.58
vrbancic__smote__decision_tree__rnative__s42,vrbancic,smote,Data-level (synthetic),decision_tree,,42,0.8958770090845563,0.9269703543022415,0.9111584932480454,0.8632722334051702,0.9350174660315181,0.9375,0.9658230530617568,0.921976271831604,2468,149,101,1282,0.9229,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 10}",9.0,16000,4000,5531,1383,34.57,34.58
