Imbalance method,precision,recall,f1,roc_auc,pr_auc,mcc
No Treatment (Baseline),0.9215,0.8306,0.873,0.9653,0.8996,0.8615
Random Oversampling,0.8651,0.8595,0.8613,0.9634,0.8768,0.8465
Random Undersampling,0.6447,0.9261,0.7582,0.9705,0.8135,0.7422
SMOTE,0.8767,0.8732,0.8728,0.9622,0.8748,0.8598
ADASYN,0.8662,0.8717,0.8672,0.9684,0.8798,0.8533
SMOTEENN,0.7934,0.8978,0.8412,0.9687,0.8506,0.8249
SMOTETomek,0.8771,0.8732,0.8729,0.9622,0.8746,0.86
Cost-Sensitive Learning,0.8667,0.8512,0.8563,0.9653,0.8763,0.8419
